Model,Tuned,Train_R²,Test_R²,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,MAPE (%),Adj_R²,Training_Time (s),Tuning_Time (s),Total_Time (s),Overfit
Stacking Regressor,❌ No,0.8302828572780637,0.6187914001846946,0.6409219880207953,0.9672246680386329,0.8479231574097739,1.2853884513878997,18.56790275204435,0.6165500108596838,67.66316342353821,0.0,67.66316342353821,0.21149145709336914
XGBoost,✅ Yes,0.8017914023554622,0.616516939269693,0.6926535159262242,0.9727393958455499,0.9163362869064361,1.2892173497005177,18.664386606500326,0.6142621768140195,0.4997570514678955,15.415646314620972,15.915403366088867,0.18527446308576923
Gradient Boosting,✅ Yes,0.8650690550764653,0.615060596809891,0.5571586489162624,0.9668882217057804,0.7560480914554065,1.2916630415231058,18.48834278027592,0.6127972715084566,11.799599409103394,406.18240213394165,417.98200154304504,0.25000845826657425
Voting Regressor,❌ No,0.8069875036006465,0.603537136154094,0.6974584767433497,0.9908232869867541,0.9042454964979496,1.3108539461969473,19.158446905521092,0.6012060564480801,13.902352571487427,0.0,13.902352571487427,0.20345036744655254
Random Forest,✅ Yes,0.889787318613907,0.5980632025273643,0.5108938577469951,0.9844230420930621,0.6832968597399833,1.3198723558341272,19.046584936254014,0.5956999377751507,1.3728022575378418,49.907318115234375,51.28012037277222,0.2917241160865427
Lasso Regression,✅ Yes,0.49035824675555817,0.41150614741470903,1.1535998673475227,1.1902714843167355,1.4693529900905644,1.597070229481886,23.25459063655078,0.4080459845546417,2.236538887023926,43.11845541000366,45.35499429702759,0.07885209934084914
Ridge Regression,✅ Yes,0.4917452235097891,0.4020217137587979,1.149855775560302,1.1890588773785902,1.4673522249641828,1.6098883441071115,23.12708717179915,0.3985057853458013,0.007951498031616211,0.35791897773742676,0.36587047576904297,0.08972350975099119
Linear Regression,❌ No,0.49174522351069105,0.402021350029804,1.149855722825311,1.1890588714825305,1.4673522249628808,1.6098888337260426,23.12708501326927,0.3985054194781926,0.013460636138916016,0.0,0.013460636138916016,0.08972387348088706
